Date,Daily Mean Pb Concentration,UNITS,PERCENT_COMPLETE
1/1/2017,0.001,ug/m3 LC,100
1/7/2017,0.001,ug/m3 LC,100
1/13/2017,0.002,ug/m3 LC,100
1/19/2017,0.001,ug/m3 LC,100
1/25/2017,0.001,ug/m3 LC,100
1/31/2017,0.001,ug/m3 LC,100
2/6/2017,0.002,ug/m3 LC,100
2/12/2017,0.001,ug/m3 LC,100
2/18/2017,0.001,ug/m3 LC,100
2/24/2017,0.001,ug/m3 LC,100
3/2/2017,0.001,ug/m3 LC,100
3/8/2017,0.001,ug/m3 LC,100
3/14/2017,0.001,ug/m3 LC,100
3/20/2017,0.001,ug/m3 LC,100
3/26/2017,0,ug/m3 LC,100
4/1/2017,0,ug/m3 LC,100
4/7/2017,0.001,ug/m3 LC,100
4/13/2017,0.001,ug/m3 LC,100
4/19/2017,0.001,ug/m3 LC,100
4/25/2017,0,ug/m3 LC,100
5/1/2017,0,ug/m3 LC,100
5/7/2017,0.001,ug/m3 LC,100
5/13/2017,0.001,ug/m3 LC,100
5/25/2017,0.001,ug/m3 LC,100
5/31/2017,0.001,ug/m3 LC,100
6/6/2017,0.001,ug/m3 LC,100
6/12/2017,0.001,ug/m3 LC,100
6/18/2017,0.001,ug/m3 LC,100
6/24/2017,0.001,ug/m3 LC,100
6/30/2017,0.001,ug/m3 LC,100
7/6/2017,0.001,ug/m3 LC,100
7/12/2017,0.001,ug/m3 LC,100
7/18/2017,0,ug/m3 LC,100
7/24/2017,0,ug/m3 LC,100
7/30/2017,0,ug/m3 LC,100
8/5/2017,0,ug/m3 LC,100
8/11/2017,0,ug/m3 LC,100
8/17/2017,0.001,ug/m3 LC,100
8/23/2017,0.001,ug/m3 LC,100
8/29/2017,0.001,ug/m3 LC,100
9/4/2017,0.001,ug/m3 LC,100
9/10/2017,0.001,ug/m3 LC,100
9/22/2017,0.001,ug/m3 LC,100
9/28/2017,0,ug/m3 LC,100
10/4/2017,0.001,ug/m3 LC,100
10/10/2017,0.001,ug/m3 LC,100
10/16/2017,0.003,ug/m3 LC,100
10/22/2017,0,ug/m3 LC,100
10/28/2017,0.001,ug/m3 LC,100
11/3/2017,0.001,ug/m3 LC,100
11/9/2017,0.001,ug/m3 LC,100
11/15/2017,0.001,ug/m3 LC,100
11/21/2017,0.001,ug/m3 LC,100
11/27/2017,0.002,ug/m3 LC,100
12/3/2017,0.002,ug/m3 LC,100
12/9/2017,0.002,ug/m3 LC,100
12/15/2017,0.001,ug/m3 LC,100
12/21/2017,0.002,ug/m3 LC,100
